,extra_id,text,name,class_simple,topics,fasttext_all,fasttext_results,fasttext_results2,class_simple_pred_label,class_simple_pred_acc,class_simple_pred_label2,class_simple_pred_acc2,sent_score_pred_label,sent_score_pred_acc,class_simple_pred_label_acc_combined,topic
0,0,fighting for family values,ADERHOLT ROBERT B,2,economy ,"['__label__2', 1.0000100135803223, '', '']","['__label__2', 1.0000100135803223]","['', '']",2,1.0000100135803223,,,for,1.0000089406967163,2,economy 
1,1, commonsense trade policies and strong immigration standards,ADERHOLT ROBERT B,2,economy ,"['__label__9', 0.9748311638832092, '', '']","['__label__9', 0.9748311638832092]","['', '']",9,0.9748311638832092,,,for,0.982041597366333,9,immigration
2,2, jurisdiction over funding operation of federal government,ADERHOLT ROBERT B,2,economy ,"['__label__2', 0.9783946871757507, '', '']","['__label__2', 0.9783946871757507]","['', '']",2,0.9783946871757507,,,for,0.7939181327819824,2,economy 
3,3,educated through alabamas public school system,ADERHOLT ROBERT B,4,education,"['__label__4', 1.0000100135803223, '', '']","['__label__4', 1.0000100135803223]","['', '']",4,1.0000100135803223,,,against,0.8289123177528381,4,education
4,4,from cumberland school of law at samford university,ADERHOLT ROBERT B,4,education,"['__label__4', 0.999254584312439, '', '']","['__label__4', 0.999254584312439]","['', '']",4,0.999254584312439,,,against,0.8846695423126221,4,education
5,5,standing up against liberal agenda,ADERHOLT ROBERT B,3,election ,"['__label__3', 1.0000100135803223, '', '']","['__label__3', 1.0000100135803223]","['', '']",3,1.0000100135803223,,,against,0.9998109936714172,3,election 
6,6, and fights against liberals cultural agenda,ADERHOLT ROBERT B,3,election ,"['__label__3', 0.9715740084648132, '', '']","['__label__3', 0.9715740084648132]","['', '']",3,0.9715740084648132,,,against,0.9984886050224304,3,election 
7,7,advocate of fiscal responsibility,ADERHOLT ROBERT B,3,election ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.9995174407958984,,
8,8, strong immigration standards,ADERHOLT ROBERT B,9,immigration,"['__label__9', 1.0000100135803223, '', '']","['__label__9', 1.0000100135803223]","['', '']",9,1.0000100135803223,,,for,0.9814522862434387,9,immigration
9,9, justice and science and supports greater transparency,ADERHOLT ROBERT B,11,science,"['__label__11', 0.9992306232452393, '', '']","['__label__11', 0.9992306232452393]","['', '']",11,0.9992306232452393,,,for,0.9808399677276611,11,science
10,10, and robust national security,ADERHOLT ROBERT B,6,security_policy,"['__label__6', 0.9967369437217712, '', '']","['__label__6', 0.9967369437217712]","['', '']",6,0.9967369437217712,,,for,0.8635299205780029,6,security_policy
11,11,join petes campaign today,AGUILAR ERICK JAVIER DR,3,election ,"['__label__3', 1.0000100135803223, '', '']","['__label__3', 1.0000100135803223]","['', '']",3,1.0000100135803223,,,against,0.6602571606636047,3,election 
12,12,dad union worker for local utility company and first job working with grandfather bussing tables at san bernardino county courthouse,AGUILAR PETE,7,domestic_policy,"['__label__7', 0.9715740084648132, '', '']","['__label__7', 0.9715740084648132]","['', '']",7,0.9715740084648132,,,for,0.6280432939529419,7,domestic_policy
13,13, cut taxes and red tape for small businesses,AGUILAR PETE,2,economy ,"['__label__1', 0.9855064153671265, '', '']","['__label__1', 0.9855064153671265]","['', '']",1,0.9855064153671265,,,for,0.9358556866645813,1,occupation
14,14, growing inland empire economy and helping workers find goodpaying jobs continue to top priority in congress,AGUILAR PETE,2,economy ,"['__label__1', 0.9344051480293274, '', '']","['__label__1', 0.9344051480293274]","['', '']",1,0.9344051480293274,,,for,0.8506096601486206,1,occupation
15,15,improving public education,AGUILAR PETE,4,education,"['__label__4', 1.0000100135803223, '', '']","['__label__4', 1.0000100135803223]","['', '']",4,1.0000100135803223,,,for,0.9829822182655334,4,education
16,16,thats believe every student works hard able to afford college education,AGUILAR PETE,4,education,"['__label__4', 0.9993433356285095, '', '']","['__label__4', 0.9993433356285095]","['', '']",4,0.9993433356285095,,,for,0.9860106110572815,4,education
17,17, wrote bill to help ease student loan burden on students and families,AGUILAR PETE,4,education,"['__label__4', 0.9926641583442688, '', '']","['__label__4', 0.9926641583442688]","['', '']",4,0.9926641583442688,,,for,0.8866612911224365,4,education
18,18, on so many inland empire students rely,AGUILAR PETE,4,education,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.593487024307251,,
19,19,as product of public schools and father of two young boys attending public schools,AGUILAR PETE,4,education,"['__label__4', 0.9859463572502136, '', '']","['__label__4', 0.9859463572502136]","['', '']",4,0.9859463572502136,,,for,0.9367076754570007,4,education
20,20, know firsthand quality education vital to future,AGUILAR PETE,4,education,"['__label__4', 0.9965265989303589, '', '']","['__label__4', 0.9965265989303589]","['', '']",4,0.9965265989303589,,,for,0.9235693216323853,4,education
21,21, veterans and students,AGUILAR PETE,4,education,"['__label__4', 0.9748311638832092, '', '']","['__label__4', 0.9748311638832092]","['', '']",4,0.9748311638832092,,,for,0.8139030933380127,4,education
22,22,join campaign today to help us spread word,AGUILAR PETE,3,election ,"['__label__3', 0.9149109721183777, '', '']","['__label__3', 0.9149109721183777]","['', '']",3,0.9149109721183777,,,for,0.6951793432235718,3,election 
23,23,join email list to stay up to date on campaign,AGUILAR PETE,3,election ,"['__label__3', 0.9951046109199524, '', '']","['__label__3', 0.9951046109199524]","['', '']",3,0.9951046109199524,,,for,0.8147705793380737,3,election 
24,24,thats ive fighting back against trump administrations efforts to take health care away from millions of families and allow health insurance companies to call shots,AGUILAR PETE,3,election ,"['__label__5', 0.8031837940216064, '', '']","['__label__5', 0.8031837940216064]","['', '']",5,0.8031837940216064,,,for,0.9748191833496094,5,healthcare
25,25, and ive fighting back against republican efforts to cut pell grants,AGUILAR PETE,3,election ,"['__label__3', 0.9899964332580566, '', '']","['__label__3', 0.9899964332580566]","['', '']",3,0.9899964332580566,,,for,0.7202959060668945,3,election 
26,26,take effects of climate change and pollution very seriously and worked in congress to reduce carbon footprint and prioritize health and safety of communities,AGUILAR PETE,10,environment,"['__label__10', 0.9820237755775452, '', '']","['__label__10', 0.9820237755775452]","['', '']",10,0.9820237755775452,,,for,0.8764874935150146,10,environment
27,27, make health care more affordable and fix broken immigration system,AGUILAR PETE,5,healthcare,"['__label__5', 0.9986429810523987, '', '']","['__label__5', 0.9986429810523987]","['', '']",5,0.9986429810523987,,,for,0.9001864194869995,5,healthcare
28,28, health care and employment opportunities in san bernardino county,AGUILAR PETE,5,healthcare,"['__label__5', 0.7122421860694885, '', '']","['__label__5', 0.7122421860694885]","['', '']",5,0.7122421860694885,,,for,0.9090695977210999,5,healthcare
29,29,medicare and social security vital to health and welfare of older americans in san bernardino county and throughout nation,AGUILAR PETE,5,healthcare,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.8580115437507629,,
30,30,fought republican efforts to turn medicare into voucher program,AGUILAR PETE,5,healthcare,"['__label__5', 0.9890230894088745, '', '']","['__label__5', 0.9890230894088745]","['', '']",5,0.9890230894088745,,,for,0.7736362218856812,5,healthcare
31,31, affordable health care,AGUILAR PETE,5,healthcare,"['__label__5', 1.0000100135803223, '', '']","['__label__5', 1.0000100135803223]","['', '']",5,1.0000100135803223,,,for,0.8764320611953735,5,healthcare
32,32,committed to expanding access to health care for all americans and continue fighting for policies lower cost of coverage for individuals and families,AGUILAR PETE,5,healthcare,"['__label__5', 0.9553291201591492, '', '']","['__label__5', 0.9553291201591492]","['', '']",5,0.9553291201591492,,,for,0.9581128358840942,5,healthcare
33,33, or cut millions off of health care plans,AGUILAR PETE,5,healthcare,"['__label__5', 0.9942797422409058, '', '']","['__label__5', 0.9942797422409058]","['', '']",5,0.9942797422409058,,,for,0.7178776264190674,5,healthcare
34,34,protecting social security and medicare,AGUILAR PETE,5,healthcare,"['__label__5', 0.9983615279197693, '', '']","['__label__5', 0.9983615279197693]","['', '']",5,0.9983615279197693,,,for,0.9340007305145264,5,healthcare
35,35,fixing broken immigration system,AGUILAR PETE,9,immigration,"['__label__9', 1.0000100135803223, '', '']","['__label__9', 1.0000100135803223]","['', '']",9,1.0000100135803223,,,for,0.9513368606567383,9,immigration
36,36,need immigration policy builds bridges,AGUILAR PETE,9,immigration,"['__label__9', 0.9995066523551941, '', '']","['__label__9', 0.9995066523551941]","['', '']",9,0.9995066523551941,,,for,0.9229379296302795,9,immigration
