,extra_id,text,name,class_simple,topics,fasttext_all,fasttext_results,fasttext_results2,class_simple_pred_label,class_simple_pred_acc,class_simple_pred_label2,class_simple_pred_acc2,sent_score_pred_label,sent_score_pred_acc,class_simple_pred_label_acc_combined,topic
37,37, provides pathway to citizenship,AGUILAR PETE,9,immigration,"['__label__9', 1.0000100135803223, '', '']","['__label__9', 1.0000100135803223]","['', '']",9,1.0000100135803223,,,for,0.9224311709403992,9,immigration
38,38, while also protecting border and national security,AGUILAR PETE,9,immigration,"['__label__9', 0.8080772161483765, '', '']","['__label__9', 0.8080772161483765]","['', '']",9,0.8080772161483765,,,against,0.9445736408233643,9,immigration
39,39, reform broken immigration system and provide resources to seniors,AGUILAR PETE,9,immigration,"['__label__9', 0.9942797422409058, '', '']","['__label__9', 0.9942797422409058]","['', '']",9,0.9942797422409058,,,for,0.9072455167770386,9,immigration
40,40,building stronger middle class,AGUILAR PETE,12,infra_transpo,"['__label__12', 0.9995794296264648, '', '']","['__label__12', 0.9995794296264648]","['', '']",12,0.9995794296264648,,,against,0.8680586218833923,12,infra_transpo
41,41,if youve saved payment information with actblue express,AGUILAR PETE,1,occupation,"['', nan, '', nan]","['', nan]","['', nan]",,,,,against,0.6809943318367004,,
42,42,annual inland empire jobs fairs helped over one hundred people find jobs and as regions economy continues to recover from great recession,AGUILAR PETE,1,occupation,"['__label__1', 0.9149109721183777, '', '']","['__label__1', 0.9149109721183777]","['', '']",1,0.9149109721183777,,,for,0.597811222076416,1,occupation
43,43,worked two jobs through college and proudly graduated with help of pell grants,AGUILAR PETE,1,occupation,"['__label__1', 0.9814634323120117, '', '']","['__label__1', 0.9814634323120117]","['', '']",1,0.9814634323120117,,,for,0.5721668004989624,1,occupation
44,44, create goodpaying jobs in communities like inland empire,AGUILAR PETE,1,occupation,"['__label__1', 0.994098961353302, '', '']","['__label__1', 0.994098961353302]","['', '']",1,0.994098961353302,,,against,0.6112779378890991,1,occupation
45,45, schools and frontline workers during covid pandemic to investing in affordable housing,AGUILAR PETE,13,public_health,"['__label__13', 0.9814634323120117, '', '']","['__label__13', 0.9814634323120117]","['', '']",13,0.9814634323120117,,,for,0.803862988948822,13,public_health
46,46,national security public safety,AGUILAR PETE,6,security_policy,"['__label__6', 0.8439050912857056, '', '']","['__label__6', 0.8439050912857056]","['', '']",6,0.8439050912857056,,,for,0.8845444321632385,6,security_policy
47,47,wants to modernize national security,AGUILAR PETE,6,security_policy,"['__label__6', 0.9973783493041992, '', '']","['__label__6', 0.9973783493041992]","['', '']",6,0.9973783493041992,,,for,0.7420375943183899,6,security_policy
48,48, improve quality of care women veterans receive at va,AGUILAR PETE,0,social_policy,"['__label__0', 0.9942797422409058, '', '']","['__label__0', 0.9942797422409058]","['', '']",0,0.9942797422409058,,,for,0.7238772511482239,0,social_policy
49,49,womens reproductive rights under constant attack and still long way away from realizing full pay equity for women,AGUILAR PETE,0,social_policy,"['__label__0', 0.9963027834892273, '', '']","['__label__0', 0.9963027834892273]","['', '']",0,0.9963027834892273,,,for,0.8098957538604736,0,social_policy
50,50,need to support brave men and women defend country return home,AGUILAR PETE,0,social_policy,"['__label__0', 0.6859594583511353, '', '']","['__label__0', 0.6859594583511353]","['', '']",0,0.6859594583511353,,,for,0.9962411522865295,0,social_policy
51,51, would force seniors to shop for health insurance on private market and pay thousands more in outofpocket expenses for same level of coverage,AGUILAR PETE,0,social_policy,"['__label__0', 0.9304682612419128, '', '']","['__label__0', 0.9304682612419128]","['', '']",0,0.9304682612419128,,,for,0.8376213312149048,0,social_policy
52,52,standing up for equality and womens health care issues,AGUILAR PETE,0,social_policy,"['__label__0', 0.9173126816749573, '__label__5', 0.6584275364875793]","['__label__0', 0.9173126816749573]","['__label__5', 0.6584275364875793]",0,0.9173126816749573,,,for,0.9406207203865051,0,social_policy
53,53,support second amendment rights,AGUILERA JUSTIN,7,domestic_policy,"['__label__7', 1.0000100135803223, '', '']","['__label__7', 1.0000100135803223]","['', '']",7,1.0000100135803223,,,for,0.9998200535774231,7,domestic_policy
54,54, most expensive housing market in country,AGUILERA JUSTIN,2,economy ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,against,0.9874667525291443,,
55,55,attended valley christian high school and then california state university monterey bay,AGUILERA JUSTIN,4,education,"['__label__4', 0.9173126816749573, '', '']","['__label__4', 0.9173126816749573]","['', '']",4,0.9173126816749573,,,against,0.9819982647895813,4,education
56,56,vote justin aguilera on november rd,AGUILERA JUSTIN,3,election ,"['__label__3', 0.9966334104537964, '', '']","['__label__3', 0.9966334104537964]","['', '']",3,0.9966334104537964,,,for,0.5934474468231201,3,election 
57,57,must implement laws and protect borders,AGUILERA JUSTIN,9,immigration,"['__label__9', 0.9916942119598389, '', '']","['__label__9', 0.9916942119598389]","['', '']",9,0.9916942119598389,,,for,0.8946800827980042,9,immigration
58,58,support legal immigration,AGUILERA JUSTIN,9,immigration,"['__label__9', 1.0000100135803223, '', '']","['__label__9', 1.0000100135803223]","['', '']",9,1.0000100135803223,,,for,1.000008463859558,9,immigration
59,59,grandparents dairy farmers,AGUILERA JUSTIN,1,occupation,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.8610507249832153,,
60,60,believe in small government and lower taxes,AGUILERA JUSTIN,1,occupation,"['__label__1', 0.994455099105835, '', '']","['__label__1', 0.994455099105835]","['', '']",1,0.994455099105835,,,for,0.9880869388580322,1,occupation
61,61,salute and stand for strong military,AGUILERA JUSTIN,6,security_policy,"['__label__6', 0.998977780342102, '', '']","['__label__6', 0.998977780342102]","['', '']",6,0.998977780342102,,,against,0.9863000512123108,6,security_policy
62,62,time to hold toxic disaster of washington dc and california accountable,AGUILERA JUSTIN,6,security_policy,"['__label__6', 0.9908843636512756, '', '']","['__label__6', 0.9908843636512756]","['', '']",6,0.9908843636512756,,,against,0.9789127111434937,6,security_policy
63,63,but gomezs support from outside spending groups far surpassed ahns,AHN ROBERT LEE,2,economy ,"['__label__2', 0.9939124584197998, '', '']","['__label__2', 0.9939124584197998]","['', '']",2,0.9939124584197998,,,for,0.5901271104812622,2,economy 
64,64, gomez benefited from about in spending by several super pacs,AHN ROBERT LEE,2,economy ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.6973029375076294,,
65,65, most of come from latino victory fund,AHN ROBERT LEE,2,economy ,"['__label__2', 0.998803436756134, '', '']","['__label__2', 0.998803436756134]","['', '']",2,0.998803436756134,,,against,0.6653104424476624,2,economy 
66,66,only one such group spent money to support ahn in time period citizens for better government,AHN ROBERT LEE,2,economy ,"['__label__2', 0.6926519870758057, '', '']","['__label__2', 0.6926519870758057]","['', '']",2,0.6926519870758057,,,for,0.9550272822380066,2,economy 
67,67,and while one edge comes to funds raised,AHN ROBERT LEE,2,economy ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,against,0.9936068058013916,,
68,68, clear winner among outside spending groups,AHN ROBERT LEE,2,economy ,"['__label__2', 0.9961855411529541, '', '']","['__label__2', 0.9961855411529541]","['', '']",2,0.9961855411529541,,,for,0.5866348743438721,2,economy 
69,69, spending about to send out to voters,AHN ROBERT LEE,2,economy ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.7000712156295776,,
70,70, while ahn received all of funds from individuals,AHN ROBERT LEE,2,economy ,"['__label__2', 0.9924327731132507, '', '']","['__label__2', 0.9924327731132507]","['', '']",2,0.9924327731132507,,,against,0.9959489107131958,2,economy 
71,71,as of june gomez reported spending about on mailers,AHN ROBERT LEE,2,economy ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.7531707882881165,,
72,72, privately held independent real estate investment and development company,AHN ROBERT LEE,2,economy ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.8618204593658447,,
73,73,upon graduation from harvardwestlake school,AHN ROBERT LEE,4,education,"['__label__4', 1.0000100135803223, '', '']","['__label__4', 1.0000100135803223]","['', '']",4,1.0000100135803223,,,against,0.7099427580833435,4,education
74,74, robert tutored atrisk high school children in math and english,AHN ROBERT LEE,4,education,"['__label__4', 0.9921941161155701, '', '']","['__label__4', 0.9921941161155701]","['', '']",4,0.9921941161155701,,,against,0.7286446690559387,4,education
75,75,roberts education greatly enhanced by many programs offered at local parks,AHN ROBERT LEE,4,education,"['__label__7', 0.6224693655967712, '', '']","['__label__7', 0.6224693655967712]","['', '']",7,0.6224693655967712,,,for,0.8247899413108826,7,domestic_policy
76,76, college education must affordable,AHN ROBERT LEE,4,education,"['__label__4', 1.0000100135803223, '', '']","['__label__4', 1.0000100135803223]","['', '']",4,1.0000100135803223,,,for,0.9214432835578918,4,education
77,77,robert attended local public schools in los angeles unified school district until accepted into prestigious harvard school for boys,AHN ROBERT LEE,4,education,"['__label__4', 1.0000100135803223, '', '']","['__label__4', 1.0000100135803223]","['', '']",4,1.0000100135803223,,,against,0.6602287888526917,4,education
78,78, elite private college preparatory school located in san fernando valley,AHN ROBERT LEE,4,education,"['__label__4', 0.9908843636512756, '', '']","['__label__4', 0.9908843636512756]","['', '']",4,0.9908843636512756,,,against,0.7074214220046997,4,education
79,79,ahn for congress hour koreatown voter registration marathon,AHN ROBERT LEE,3,election ,"['__label__3', 0.6513648629188538, '', '']","['__label__3', 0.6513648629188538]","['', '']",3,0.6513648629188538,,,for,0.7594819068908691,3,election 
80,80, one dem clear favorite of pacs and outside groups,AHN ROBERT LEE,3,election ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.6754264831542969,,
81,81,robert solid track record of strong advocate for community,AHN ROBERT LEE,3,election ,"['__label__3', 0.9219318628311157, '', '']","['__label__3', 0.9219318628311157]","['', '']",3,0.9219318628311157,,,for,0.9987169504165649,3,election 
82,82,if people stay home and dont vote,AHN ROBERT LEE,3,election ,"['__label__3', 0.9942797422409058, '', '']","['__label__3', 0.9942797422409058]","['', '']",3,0.9942797422409058,,,for,0.5143587589263916,3,election 
83,83,gomez and ahn competed in runoff election on june,AHN ROBERT LEE,3,election ,"['__label__3', 0.5156299471855164, '', '']","['__label__3', 0.5156299471855164]","['', '']",3,0.5156299471855164,,,for,0.8428544998168945,3,election 
84,84, ahn accused in elections only debate of corporate democrat attack gomez parried with reminder hes backed by bernie sanders revolution,AHN ROBERT LEE,3,election ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,against,0.9726519584655762,,
85,85,robert candidate in special election to replace retiring congressman xavier becerra in united states house of representatives,AHN ROBERT LEE,3,election ,"['__label__3', 0.9724247455596924, '', '']","['__label__3', 0.9724247455596924]","['', '']",3,0.9724247455596924,,,for,0.6089433431625366,3,election 
86,86, gave campaign in february before primary,AHN ROBERT LEE,3,election ,"['__label__3', 0.9959398508071899, '', '']","['__label__3', 0.9959398508071899]","['', '']",3,0.9959398508071899,,,against,0.7881028652191162,3,election 
87,87,ahn also used potholders as campaign advertisements,AHN ROBERT LEE,3,election ,"['__label__3', 0.9952548146247864, '', '']","['__label__3', 0.9952548146247864]","['', '']",3,0.9952548146247864,,,for,0.5937866568565369,3,election 
88,88,much of super pac activity centered on mail,AHN ROBERT LEE,3,election ,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.7456997632980347,,
89,89, since start of campaign,AHN ROBERT LEE,3,election ,"['__label__3', 1.0000100135803223, '', '']","['__label__3', 1.0000100135803223]","['', '']",3,1.0000100135803223,,,against,0.5796431303024292,3,election 
90,90, robert lee ahn for congress campaign registering voters to participate in april th election,AHN ROBERT LEE,3,election ,"['__label__3', 0.99753737449646, '', '']","['__label__3', 0.99753737449646]","['', '']",3,0.99753737449646,,,against,0.5735899806022644,3,election 
91,91,vital everyone registered and everyone casts vote,AHN ROBERT LEE,3,election ,"['__label__3', 0.9949496984481812, '', '']","['__label__3', 0.9949496984481812]","['', '']",3,0.9949496984481812,,,for,0.6706895232200623,3,election 
92,92, explained campaign manager david meraz,AHN ROBERT LEE,3,election ,"['__label__3', 1.0000100135803223, '', '']","['__label__3', 1.0000100135803223]","['', '']",3,1.0000100135803223,,,against,0.5619339346885681,3,election 
93,93,dont want to any excuses to not register and vote,AHN ROBERT LEE,3,election ,"['__label__3', 0.8439050912857056, '', '']","['__label__3', 0.8439050912857056]","['', '']",3,0.8439050912857056,,,against,0.729129433631897,3,election 
94,94,robert lee ahn understands climate change urgent threat to economy and childrens future,AHN ROBERT LEE,10,environment,"['__label__10', 0.9988764524459839, '', '']","['__label__10', 0.9988764524459839]","['', '']",10,0.9988764524459839,,,for,0.8538067936897278,10,environment
95,95,robert defend pledge made at paris climate conference to reduce greenhouse gas emissions and put united states on path to reduce american oil consumption,AHN ROBERT LEE,10,environment,"['__label__10', 0.9935217499732971, '', '']","['__label__10', 0.9935217499732971]","['', '']",10,0.9935217499732971,,,for,0.7845683693885803,10,environment
96,96, would only korean american to hold seat in united states congress,AHN ROBERT LEE,8,foreign_policy,"['__label__8', 0.9905974268913269, '', '']","['__label__8', 0.9905974268913269]","['', '']",8,0.9905974268913269,,,against,0.9941679239273071,8,foreign_policy
97,97, north koreas kim jong un tries to disguise reason for intention to build nuclear missile program by claiming united states and south korea planning to invade country,AHN ROBERT LEE,8,foreign_policy,"['__label__8', 0.9748311638832092, '', '']","['__label__8', 0.9748311638832092]","['', '']",8,0.9748311638832092,,,for,0.7394798398017883,8,foreign_policy
98,98, host event in hopes of registering many of unregistered koreans in th congressional district,AHN ROBERT LEE,8,foreign_policy,"['__label__8', 0.9579222798347473, '', '']","['__label__8', 0.9579222798347473]","['', '']",8,0.9579222798347473,,,against,0.6085686087608337,8,foreign_policy
99,99,may communitys only opportunity to voice in united states house of representatives,AHN ROBERT LEE,8,foreign_policy,"['__label__8', 0.9926641583442688, '', '']","['__label__8', 0.9926641583442688]","['', '']",8,0.9926641583442688,,,against,0.8630479574203491,8,foreign_policy
100,100,must improve quality of healthcare and create and fund programs provide opportunities and tools veterans deserve,AHN ROBERT LEE,5,healthcare,"['__label__5', 0.9724247455596924, '', '']","['__label__5', 0.9724247455596924]","['', '']",5,0.9724247455596924,,,for,0.9074066877365112,5,healthcare
101,101,because mother worked in same building roberts office located,AHN ROBERT LEE,12,infra_transpo,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.5589307546615601,,
102,102,and los angeles labor unions,AHN ROBERT LEE,1,occupation,"['__label__1', 0.9637899398803711, '', '']","['__label__1', 0.9637899398803711]","['', '']",1,0.9637899398803711,,,for,0.6575969457626343,1,occupation
103,103, worked long hours at numerous jobs and,AHN ROBERT LEE,1,occupation,"['__label__1', 0.9669240117073059, '', '']","['__label__1', 0.9669240117073059]","['', '']",1,0.9669240117073059,,,against,0.529440701007843,1,occupation
104,104, as well as phone banks and in cases online ads,AHN ROBERT LEE,1,occupation,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.8686967492103577,,
105,105, including many associated with labor unions,AHN ROBERT LEE,1,occupation,"['__label__1', 0.9763205647468567, '', '']","['__label__1', 0.9763205647468567]","['', '']",1,0.9763205647468567,,,for,0.5628017783164978,1,occupation
106,106, newspaper ads and phone banks,AHN ROBERT LEE,1,occupation,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.7782374024391174,,
107,107,throughout course of business career,AHN ROBERT LEE,1,occupation,"['__label__1', 0.9994907379150391, '', '']","['__label__1', 0.9994907379150391]","['', '']",1,0.9994907379150391,,,against,0.6139999628067017,1,occupation
108,108,essential to national security fix visa backlog,AHN ROBERT LEE,6,security_policy,"['__label__6', 0.9985088109970093, '', '']","['__label__6', 0.9985088109970093]","['', '']",6,0.9985088109970093,,,for,0.771905779838562,6,security_policy
109,109,race eventually whittled down to two democrats jimmy gomez and robert lee ahn,AHN ROBERT LEE,0,social_policy,"['', nan, '', nan]","['', nan]","['', nan]",,,,,for,0.8390448093414307,,
110,110,growing economy only way to create jobs,ALLEN RICHARD W,2,economy ,"['__label__2', 0.9863731861114502, '', '']","['__label__2', 0.9863731861114502]","['', '']",2,0.9863731861114502,,,against,0.9980303049087524,2,economy 
111,111,rick allen fighting hard everyday for economy georgia families deserve,ALLEN RICHARD W,2,economy ,"['__label__2', 0.9905974268913269, '', '']","['__label__2', 0.9905974268913269]","['', '']",2,0.9905974268913269,,,for,0.9678757190704346,2,economy 
112,112,need to build on foundation of nations economy by loosening washingtons grip and letting free market job,ALLEN RICHARD W,2,economy ,"['__label__2', 0.9790457487106323, '', '']","['__label__2', 0.9790457487106323]","['', '']",2,0.9790457487106323,,,for,0.7110112309455872,2,economy 
113,113,southeastern tech school,ALLEN RICHARD W,4,education,"['__label__4', 1.0000100135803223, '', '']","['__label__4', 1.0000100135803223]","['', '']",4,1.0000100135803223,,,against,0.944827675819397,4,education
114,114,after graduated from auburn universitys school of architecture and fine arts with bachelor of science degree in building construction,ALLEN RICHARD W,4,education,"['__label__4', 0.9626831412315369, '', '']","['__label__4', 0.9626831412315369]","['', '']",4,0.9626831412315369,,,against,0.602148711681366,4,education
115,115,critical election updates,ALLEN RICHARD W,3,election ,"['__label__3', 0.9983615279197693, '', '']","['__label__3', 0.9983615279197693]","['', '']",3,0.9983615279197693,,,for,0.5702688097953796,3,election 
116,116,commit to vote for rick allen for congress november,ALLEN RICHARD W,3,election ,"['__label__3', 0.9970290064811707, '', '']","['__label__3', 0.9970290064811707]","['', '']",3,0.9970290064811707,,,for,0.7032090425491333,3,election 
117,117,know every vote makes difference and democrats not go down without fight,ALLEN RICHARD W,3,election ,"['__label__3', 0.6297846436500549, '', '']","['__label__3', 0.6297846436500549]","['', '']",3,0.6297846436500549,,,for,0.929937481880188,3,election 
118,118,elections and registration office,ALLEN RICHARD W,3,election ,"['__label__3', 0.9481645226478577, '', '']","['__label__3', 0.9481645226478577]","['', '']",3,0.9481645226478577,,,for,0.7488935589790344,3,election 
119,119,commit to voting in november rds general election to make sure keep georgia red,ALLEN RICHARD W,3,election ,"['__label__3', 0.9855064153671265, '', '']","['__label__3', 0.9855064153671265]","['', '']",3,0.9855064153671265,,,for,0.7325623631477356,3,election 
120,120,stay uptodate on all of critical election updates,ALLEN RICHARD W,3,election ,"['__label__3', 0.6791887283325195, '', '']","['__label__3', 0.6791887283325195]","['', '']",3,0.6791887283325195,,,for,0.510142982006073,3,election 
121,121, voting alerts and rapid response messages setting record straight fake news and democrats attacks,ALLEN RICHARD W,3,election ,"['__label__3', 0.9820237755775452, '', '']","['__label__3', 0.9820237755775452]","['', '']",3,0.9820237755775452,,,for,0.8108348250389099,3,election 
122,122,effingham county board of elections and registration,ALLEN RICHARD W,3,election ,"['__label__3', 0.9939124584197998, '', '']","['__label__3', 0.9939124584197998]","['', '']",3,0.9939124584197998,,,for,0.8026983141899109,3,election 
123,123,whoever wins election define direction take country next four years,ALLEN RICHARD W,3,election ,"['__label__3', 0.839743971824646, '', '']","['__label__3', 0.839743971824646]","['', '']",3,0.839743971824646,,,against,0.5873253345489502,3,election 
124,124,election day fast approaching,ALLEN RICHARD W,3,election ,"['__label__3', 1.0000100135803223, '', '']","['__label__3', 1.0000100135803223]","['', '']",3,1.0000100135803223,,,for,0.6657570600509644,3,election 
125,125, find early and election day voting locations or commit to vote on november rd,ALLEN RICHARD W,3,election ,"['__label__3', 1.0000100135803223, '', '']","['__label__3', 1.0000100135803223]","['', '']",3,1.0000100135803223,,,for,0.7019277811050415,3,election 
126,126,tattnall county election office,ALLEN RICHARD W,3,election ,"['__label__3', 1.0000100135803223, '', '']","['__label__3', 1.0000100135803223]","['', '']",3,1.0000100135803223,,,against,0.7418871521949768,3,election 
